"SAGDP1 Gross Domestic Product (GDP) summary, annual by state"
"Current-dollar Gross Domestic Product (GDP) (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00000","United States",14992052.0,15542582.0,16197007.0,16784851.0,17527258.0,18224780.0,18715040.0,19519424.0,20580223.0,21427690.0
"01000","Alabama",174753.0,181349.8,186299.0,191481.0,194211.0,200402.7,203829.8,210364.4,221735.5,230968.2
"02000","Alaska",52882.5,56259.9,57670.1,56622.8,55523.4,50641.6,49363.4,51803.1,54734.1,55406.1
"04000","Arizona",248210.0,257947.8,268288.8,275199.1,284430.0,297141.2,311091.0,327495.8,348297.1,366189.9
"05000","Arkansas",101690.0,106085.4,108745.2,114251.5,117336.7,118761.2,120374.8,123383.1,128418.9,133180.9
"06000","California",1974614.5,2050056.8,2144497.3,2262771.2,2395162.3,2553772.2,2657797.6,2819110.7,2997732.8,3137469.0
"08000","Colorado",255140.5,264431.6,273519.5,288305.2,306571.1,318554.9,329368.3,350004.4,371749.6,390283.9
"09000","Connecticut",237653.4,236523.7,243801.0,246632.0,248865.2,260072.6,263696.4,268310.5,275726.9,285640.4
"10000","Delaware",57447.4,60357.4,61975.8,60666.1,66891.0,70969.4,69549.7,70774.8,73481.3,75415.5
"11000","District of Columbia",106120.3,110076.2,112736.5,114891.0,119841.0,125211.9,129826.1,134042.7,140660.9,146194.3
"12000","Florida",737791.1,746787.5,769309.1,800704.1,839484.1,895146.2,938774.2,985665.4,1039236.4,1093350.7
"13000","Georgia",416883.8,429574.0,444132.2,460585.1,485816.7,513565.6,539525.1,566473.6,592153.4,616333.3
"15000","Hawaii",68196.9,70482.6,73582.7,75788.3,77854.3,82710.0,85843.8,89428.9,93797.9,97281.7
"16000","Idaho",55170.7,56488.1,57764.4,61017.7,63521.8,66004.3,69029.4,72723.2,77052.0,80911.0
"17000","Illinois",662637.8,688288.9,720702.3,739627.9,765347.7,792999.4,806315.5,826817.8,865310.4,897123.5
"18000","Indiana",280120.7,288749.1,297552.7,308681.7,324934.5,330032.2,338126.1,351105.6,366800.5,377104.3
"19000","Iowa",141482.0,147227.0,157250.8,160299.8,171561.0,178472.6,179546.6,181846.3,189701.6,194788.7
"20000","Kansas",127744.8,135315.3,140477.8,143220.7,148225.6,152374.1,156857.4,161219.6,168318.0,173142.5
"21000","Kentucky",164605.5,169940.7,176302.3,182359.2,186523.0,191923.3,195342.2,200715.4,208087.5,214671.2
"22000","Louisiana",225677.0,228987.5,233623.1,228967.4,238679.5,234299.1,227226.7,239204.3,257287.8,263856.8
"23000","Maine",51710.7,51866.7,52874.0,53719.0,55795.4,57525.7,59753.9,62040.3,64856.0,67518.6
"24000","Maryland",316451.5,328058.4,334821.6,341255.3,352046.7,367096.5,384889.1,394258.6,412584.2,428338.6
"25000","Massachusetts",409762.5,425593.2,444329.8,454345.7,473279.0,502858.0,519407.6,540786.0,569488.0,595558.7
"26000","Michigan",386625.9,401105.4,418857.4,432717.6,449127.7,474301.4,491774.2,505561.2,527095.8,541550.6
"27000","Minnesota",271821.2,283807.3,294296.6,306153.0,319778.7,329493.2,339100.1,351416.8,368852.4,380854.9
"28000","Mississippi",95208.4,96371.6,99614.6,101638.1,104146.0,105883.4,107096.6,110223.4,114834.2,118779.9
"29000","Missouri",258544.1,260093.5,268761.5,277851.1,284712.5,294794.6,297582.6,304946.2,318921.0,332082.1
"30000","Montana",38054.6,40579.3,42005.8,43141.0,44495.7,46152.9,45457.9,47559.1,50326.6,52169.1
"31000","Nebraska",91812.8,99613.4,102269.0,107604.3,111161.7,115328.0,116193.8,120517.4,123977.9,127036.5
"32000","Nevada",123598.1,126657.1,128043.0,130621.4,135153.2,144232.4,151215.1,158847.6,169309.9,177614.6
"33000","New Hampshire",64151.6,65430.5,67689.2,70181.9,72340.1,76033.3,78477.9,80900.2,84463.9,88595.0
"34000","New Jersey",495149.0,499114.9,519745.8,533686.7,546686.5,569679.5,582427.5,595324.5,622002.8,644841.4
"35000","New Mexico",83989.2,86625.0,87601.6,88411.2,92480.7,90969.0,91043.6,94267.1,100296.8,104001.5
